Table,NAME,FMTName,Type,Value,Label,FLAT,METRO
AHS2017,CITSHP15,CITSHP,C,4,"Foreign born, US citizen by naturalization",YES,YES
AHS2017,CITSHP15,CITSHP,C,5,"Foreign born, not a US citizen",YES,YES
AHS2017,CITSHP15,CITSHP,C,M,Not reported,YES,YES
AHS2017,CITSHP15,CITSHP,C,N,Not applicable,YES,YES
AHS2017,CITSHP16,CITSHP,C,1,"Native, born in US",YES,YES
AHS2017,CITSHP16,CITSHP,C,2,"Native, born in Puerto Rico or US outlying area",YES,YES
AHS2017,CITSHP16,CITSHP,C,3,Native born abroad of US parent(s),YES,YES
AHS2017,CITSHP16,CITSHP,C,4,"Foreign born, US citizen by naturalization",YES,YES
AHS2017,CITSHP16,CITSHP,C,5,"Foreign born, not a US citizen",YES,YES
AHS2017,CITSHP16,CITSHP,C,M,Not reported,YES,YES
AHS2017,CITSHP16,CITSHP,C,N,Not applicable,YES,YES
AHS2017,CITSHP17,CITSHP,C,1,"Native, born in US",YES,YES
AHS2017,CITSHP17,CITSHP,C,2,"Native, born in Puerto Rico or US outlying area",YES,YES
AHS2017,CITSHP17,CITSHP,C,3,Native born abroad of US parent(s),YES,YES
AHS2017,CITSHP17,CITSHP,C,4,"Foreign born, US citizen by naturalization",YES,YES
AHS2017,CITSHP17,CITSHP,C,5,"Foreign born, not a US citizen",YES,YES
AHS2017,CITSHP17,CITSHP,C,M,Not reported,YES,YES
AHS2017,CITSHP17,CITSHP,C,N,Not applicable,YES,YES
AHS2017,CITSHP18,CITSHP,C,1,"Native, born in US",YES,YES
AHS2017,CITSHP18,CITSHP,C,2,"Native, born in Puerto Rico or US outlying area",YES,YES
AHS2017,CITSHP18,CITSHP,C,3,Native born abroad of US parent(s),YES,YES
AHS2017,CITSHP18,CITSHP,C,4,"Foreign born, US citizen by naturalization",YES,YES
AHS2017,CITSHP18,CITSHP,C,5,"Foreign born, not a US citizen",YES,YES
AHS2017,CITSHP18,CITSHP,C,M,Not reported,YES,YES
AHS2017,CITSHP18,CITSHP,C,N,Not applicable,YES,YES
AHS2017,CITSHP2,CITSHP,C,1,"Native, born in US",YES,YES
AHS2017,CITSHP2,CITSHP,C,2,"Native, born in Puerto Rico or US outlying area",YES,YES
AHS2017,CITSHP2,CITSHP,C,3,Native born abroad of US parent(s),YES,YES
AHS2017,CITSHP2,CITSHP,C,4,"Foreign born, US citizen by naturalization",YES,YES
AHS2017,CITSHP2,CITSHP,C,5,"Foreign born, not a US citizen",YES,YES
AHS2017,CITSHP2,CITSHP,C,M,Not reported,YES,YES
AHS2017,CITSHP2,CITSHP,C,N,Not applicable,YES,YES
AHS2017,CITSHP3,CITSHP,C,1,"Native, born in US",YES,YES
AHS2017,CITSHP3,CITSHP,C,2,"Native, born in Puerto Rico or US outlying area",YES,YES
AHS2017,CITSHP3,CITSHP,C,3,Native born abroad of US parent(s),YES,YES
AHS2017,CITSHP3,CITSHP,C,4,"Foreign born, US citizen by naturalization",YES,YES
AHS2017,CITSHP3,CITSHP,C,5,"Foreign born, not a US citizen",YES,YES
AHS2017,CITSHP3,CITSHP,C,M,Not reported,YES,YES
AHS2017,CITSHP3,CITSHP,C,N,Not applicable,YES,YES
AHS2017,CITSHP4,CITSHP,C,1,"Native, born in US",YES,YES
AHS2017,CITSHP4,CITSHP,C,2,"Native, born in Puerto Rico or US outlying area",YES,YES
AHS2017,CITSHP4,CITSHP,C,3,Native born abroad of US parent(s),YES,YES
AHS2017,CITSHP4,CITSHP,C,4,"Foreign born, US citizen by naturalization",YES,YES
AHS2017,CITSHP4,CITSHP,C,5,"Foreign born, not a US citizen",YES,YES
AHS2017,CITSHP4,CITSHP,C,M,Not reported,YES,YES
AHS2017,CITSHP4,CITSHP,C,N,Not applicable,YES,YES
AHS2017,CITSHP5,CITSHP,C,1,"Native, born in US",YES,YES
AHS2017,CITSHP5,CITSHP,C,2,"Native, born in Puerto Rico or US outlying area",YES,YES
AHS2017,CITSHP5,CITSHP,C,3,Native born abroad of US parent(s),YES,YES
AHS2017,CITSHP5,CITSHP,C,4,"Foreign born, US citizen by naturalization",YES,YES
AHS2017,CITSHP5,CITSHP,C,5,"Foreign born, not a US citizen",YES,YES
AHS2017,CITSHP5,CITSHP,C,M,Not reported,YES,YES
AHS2017,CITSHP5,CITSHP,C,N,Not applicable,YES,YES
AHS2017,CITSHP6,CITSHP,C,1,"Native, born in US",YES,YES
AHS2017,CITSHP6,CITSHP,C,2,"Native, born in Puerto Rico or US outlying area",YES,YES
AHS2017,CITSHP6,CITSHP,C,3,Native born abroad of US parent(s),YES,YES
AHS2017,CITSHP6,CITSHP,C,4,"Foreign born, US citizen by naturalization",YES,YES
AHS2017,CITSHP6,CITSHP,C,5,"Foreign born, not a US citizen",YES,YES
AHS2017,CITSHP6,CITSHP,C,M,Not reported,YES,YES
AHS2017,CITSHP6,CITSHP,C,N,Not applicable,YES,YES
AHS2017,CITSHP7,CITSHP,C,1,"Native, born in US",YES,YES
AHS2017,CITSHP7,CITSHP,C,2,"Native, born in Puerto Rico or US outlying area",YES,YES
AHS2017,CITSHP7,CITSHP,C,3,Native born abroad of US parent(s),YES,YES
AHS2017,CITSHP7,CITSHP,C,4,"Foreign born, US citizen by naturalization",YES,YES
AHS2017,CITSHP7,CITSHP,C,5,"Foreign born, not a US citizen",YES,YES
AHS2017,CITSHP7,CITSHP,C,M,Not reported,YES,YES
AHS2017,CITSHP7,CITSHP,C,N,Not applicable,YES,YES
AHS2017,CITSHP8,CITSHP,C,1,"Native, born in US",YES,YES
AHS2017,CITSHP8,CITSHP,C,2,"Native, born in Puerto Rico or US outlying area",YES,YES
AHS2017,CITSHP8,CITSHP,C,3,Native born abroad of US parent(s),YES,YES
AHS2017,CITSHP8,CITSHP,C,4,"Foreign born, US citizen by naturalization",YES,YES
AHS2017,CITSHP8,CITSHP,C,5,"Foreign born, not a US citizen",YES,YES
AHS2017,CITSHP8,CITSHP,C,M,Not reported,YES,YES
AHS2017,CITSHP8,CITSHP,C,N,Not applicable,YES,YES
AHS2017,CITSHP9,CITSHP,C,1,"Native, born in US",YES,YES
AHS2017,CITSHP9,CITSHP,C,2,"Native, born in Puerto Rico or US outlying area",YES,YES
AHS2017,CITSHP9,CITSHP,C,3,Native born abroad of US parent(s),YES,YES
AHS2017,CITSHP9,CITSHP,C,4,"Foreign born, US citizen by naturalization",YES,YES
AHS2017,CITSHP9,CITSHP,C,5,"Foreign born, not a US citizen",YES,YES
AHS2017,CITSHP9,CITSHP,C,M,Not reported,YES,YES
AHS2017,CITSHP9,CITSHP,C,N,Not applicable,YES,YES
AHS2017,COLD,COLD,C,1,Yes,YES,YES
AHS2017,COLD,COLD,C,2,No,YES,YES
AHS2017,COLD,COLD,C,3,Household did not live in the unit last winter,YES,YES
AHS2017,COLD,COLD,C,M,Not reported,YES,YES
AHS2017,COLD,COLD,C,N,Not applicable,YES,YES
AHS2017,COLDCOST,COLDCOST,C,1,Yes,YES,YES
AHS2017,COLDCOST,COLDCOST,C,2,No,YES,YES
AHS2017,COLDCOST,COLDCOST,C,M,Not reported,YES,YES
AHS2017,COLDCOST,COLDCOST,C,N,Not applicable,YES,YES
AHS2017,COLDEQ,COLDEQ,C,1,Yes,YES,YES
AHS2017,COLDEQ,COLDEQ,C,2,No,YES,YES
AHS2017,COLDEQ,COLDEQ,C,M,Not reported,YES,YES
AHS2017,COLDEQ,COLDEQ,C,N,Not applicable,YES,YES
AHS2017,COLDEQFREQ,COLDEQFREQ,N,0,Never broke down for 6 hours,YES,YES
AHS2017,COLDEQFREQ,COLDEQFREQ,N,8,8 or more breakdowns lasting 6 hours or more,YES,YES
AHS2017,COLDEQFREQ,COLDEQFREQ,N,.M,Not reported,YES,YES
AHS2017,COLDEQFREQ,COLDEQFREQ,N,.N,Not applicable,YES,YES
AHS2017,COLDHTCAP,COLDHTCAP,C,1,Yes,YES,YES
AHS2017,COLDHTCAP,COLDHTCAP,C,2,No,YES,YES
AHS2017,COLDHTCAP,COLDHTCAP,C,M,Not reported,YES,YES
AHS2017,COLDHTCAP,COLDHTCAP,C,N,Not applicable,YES,YES
AHS2017,COLDINSUL,COLDINSUL,C,1,Yes,YES,YES
AHS2017,COLDINSUL,COLDINSUL,C,2,No,YES,YES
AHS2017,COLDINSUL,COLDINSUL,C,M,Not reported,YES,YES
AHS2017,COLDINSUL,COLDINSUL,C,N,Not applicable,YES,YES
AHS2017,COLDOTHER,COLDOTHER,C,1,Yes,YES,YES
AHS2017,COLDOTHER,COLDOTHER,C,2,No,YES,YES
AHS2017,COLDOTHER,COLDOTHER,C,M,Not reported,YES,YES
AHS2017,COLDOTHER,COLDOTHER,C,N,Not applicable,YES,YES
AHS2017,COLDUTIL,COLDUTIL,C,1,Yes,YES,YES
AHS2017,COLDUTIL,COLDUTIL,C,2,No,YES,YES
AHS2017,COLDUTIL,COLDUTIL,C,M,Not reported,YES,YES
AHS2017,COLDUTIL,COLDUTIL,C,N,Not applicable,YES,YES
AHS2017,COMCOST,COMCOST,N,.M,Not reported,YES,YES
AHS2017,COMCOST,COMCOST,N,.N,Not applicable,YES,YES
AHS2017,COMDAYS,COMDAYS,N,.M,Not reported,YES,YES
AHS2017,COMDAYS,COMDAYS,N,.N,Not applicable,YES,YES
AHS2017,COMPANYCAR,COMPANYCAR,C,1,Yes,YES,YES
AHS2017,COMPANYCAR,COMPANYCAR,C,2,No,YES,YES
AHS2017,COMPANYCAR,COMPANYCAR,C,M,Not reported,YES,YES
AHS2017,COMPANYCAR,COMPANYCAR,C,N,Not applicable,YES,YES
AHS2017,COMTYPE,COMTYPE,C,0,Does not commute,YES,YES
AHS2017,COMTYPE,COMTYPE,C,1,Drives all the way to work only,YES,YES
AHS2017,COMTYPE,COMTYPE,C,2,Uses public transportation only,YES,YES
AHS2017,COMTYPE,COMTYPE,C,3,Uses more than one mode of transportation,YES,YES
AHS2017,COMTYPE,COMTYPE,C,4,Carpools to work,YES,YES
AHS2017,COMTYPE,COMTYPE,C,5,Drives company vehicle to work,YES,YES
AHS2017,COMTYPE,COMTYPE,C,6,Walks or bikes to work only,YES,YES
AHS2017,COMTYPE,COMTYPE,C,M,Not reported,YES,YES
AHS2017,COMTYPE,COMTYPE,C,N,Not applicable,YES,YES
AHS2017,CONDO,CONDO,C,1,Yes,YES,YES
AHS2017,CONDO,CONDO,C,2,No,YES,YES
AHS2017,CONDO,CONDO,C,N,Not applicable,YES,YES
AHS2017,COOKFUEL,COOKFUEL,C,1,Electric,YES,YES
AHS2017,COOKFUEL,COOKFUEL,C,2,Piped gas,YES,YES
AHS2017,COOKFUEL,COOKFUEL,C,3,LP gas,YES,YES
AHS2017,COOKFUEL,COOKFUEL,C,4,Other,YES,YES
AHS2017,COOKFUEL,COOKFUEL,C,5,None,YES,YES
AHS2017,COOKTYPE,COOKTYPE,C,1,"Cooking stove or range with oven, in working order",YES,YES
AHS2017,COOKTYPE,COOKTYPE,C,2,"Built-in cooking burners, no oven in working order",YES,YES
AHS2017,COOKTYPE,COOKTYPE,C,3,"Has microwave, but no oven or burners",YES,YES
AHS2017,COOKTYPE,COOKTYPE,C,4,No working cooking equipment,YES,YES
AHS2017,DBEVICLK,DBEVICLK,C,1,Very likely,YES,YES
AHS2017,DBEVICLK,DBEVICLK,C,2,Somewhat likely,YES,YES
AHS2017,DBEVICLK,DBEVICLK,C,3,Not very likely,YES,YES
AHS2017,DBEVICLK,DBEVICLK,C,M,Not reported,YES,YES
AHS2017,DBEVICLK,DBEVICLK,C,N,Not applicable,YES,YES
AHS2017,DBEVICNOTE,DBEVICNOTE,C,1,Yes,YES,YES
AHS2017,DBEVICNOTE,DBEVICNOTE,C,2,No,YES,YES
AHS2017,DBEVICNOTE,DBEVICNOTE,C,M,Not reported,YES,YES
AHS2017,DBEVICNOTE,DBEVICNOTE,C,N,Not applicable,YES,YES
AHS2017,DBEVICTHT,DBEVICTHT,C,1,Yes,YES,YES
AHS2017,DBEVICTHT,DBEVICTHT,C,2,No,YES,YES
AHS2017,DBEVICTHT,DBEVICTHT,C,M,Not reported,YES,YES
AHS2017,DBEVICTHT,DBEVICTHT,C,N,Not applicable,YES,YES
AHS2017,DBEVICWHERE,DBEVICWHERE,C,1,New home,YES,YES
AHS2017,DBEVICWHERE,DBEVICWHERE,C,2,Friends,YES,YES
AHS2017,DBEVICWHERE,DBEVICWHERE,C,3,Family,YES,YES
AHS2017,DBEVICWHERE,DBEVICWHERE,C,4,Different places,YES,YES
AHS2017,DBEVICWHERE,DBEVICWHERE,C,5,Shelter,YES,YES
AHS2017,DBEVICWHERE,DBEVICWHERE,C,M,Not reported,YES,YES
AHS2017,DBEVICWHERE,DBEVICWHERE,C,N,Not applicable,YES,YES
AHS2017,DBFORCWHR,DBFORCWHR,C,1,New home,YES,YES
AHS2017,DBFORCWHR,DBFORCWHR,C,2,Friends,YES,YES
AHS2017,DBFORCWHR,DBFORCWHR,C,3,Family,YES,YES
AHS2017,DBFORCWHR,DBFORCWHR,C,4,Different places,YES,YES
AHS2017,DBFORCWHR,DBFORCWHR,C,5,Shelter,YES,YES
AHS2017,DBFORCWHR,DBFORCWHR,C,M,Not reported,YES,YES
AHS2017,DBFORCWHR,DBFORCWHR,C,N,Not applicable,YES,YES
AHS2017,DBLVEFORC,DBLVEFORC,C,1,Very likely,YES,YES
AHS2017,DBLVEFORC,DBLVEFORC,C,2,Somewhat likely,YES,YES
AHS2017,DBLVEFORC,DBLVEFORC,C,3,Not very likely,YES,YES
AHS2017,DBLVEFORC,DBLVEFORC,C,M,Not reported,YES,YES
AHS2017,DBLVEFORC,DBLVEFORC,C,N,Not applicable,YES,YES
AHS2017,DBMISSMORT,DBMISSMORT,C,1,Received a notice one of the last three months,YES,YES
AHS2017,DBMISSMORT,DBMISSMORT,C,2,Received a notice two of the last three months,YES,YES
AHS2017,DBMISSMORT,DBMISSMORT,C,3,Received a notice three of the last three months,YES,YES
AHS2017,DBMISSMORT,DBMISSMORT,C,4,"Received a notice, time period not reported",YES,YES
AHS2017,DBMISSMORT,DBMISSMORT,C,5,No notice,YES,YES
AHS2017,DBMISSMORT,DBMISSMORT,C,M,Not reported,YES,YES
AHS2017,DBMISSMORT,DBMISSMORT,C,N,Not applicable,YES,YES
AHS2017,DBMISSRENT,DBMISSRENT,C,1,Unable to pay one of the last three months,YES,YES
AHS2017,DBMISSRENT,DBMISSRENT,C,2,Unable to pay two of the last three months,YES,YES
AHS2017,DBMISSRENT,DBMISSRENT,C,3,Unable to pay three of the last three months,YES,YES
AHS2017,DBMISSRENT,DBMISSRENT,C,4,"Unable to pay, time period not reported",YES,YES
AHS2017,DBMISSRENT,DBMISSRENT,C,5,Has not been unable to pay rent,YES,YES
AHS2017,DBMISSRENT,DBMISSRENT,C,M,Not reported,YES,YES
AHS2017,DBMISSRENT,DBMISSRENT,C,N,Not applicable,YES,YES
AHS2017,DBUTBILL,DBUTBILL,C,1,"Received notice, utilities not shut off",YES,YES
AHS2017,DBUTBILL,DBUTBILL,C,2,"Received notice, utilities shut off",YES,YES
AHS2017,DBUTBILL,DBUTBILL,C,3,"Received notice, shut-off not reported",YES,YES
AHS2017,DBUTBILL,DBUTBILL,C,4,No notice,YES,YES
AHS2017,DBUTBILL,DBUTBILL,C,M,Not reported,YES,YES
AHS2017,DBUTBILL,DBUTBILL,C,N,Not applicable,YES,YES
AHS2017,DISHH,DISHH,C,1,At least 1 disabled person in unit,YES,YES
AHS2017,DISHH,DISHH,C,2,No disabled persons in unit,YES,YES
AHS2017,DISHH,DISHH,C,M,Not reported,YES,YES
AHS2017,DISHH,DISHH,C,N,Not applicable,YES,YES
AHS2017,DISHWASH,DISHWASH,C,1,Yes,YES,YES
AHS2017,DISHWASH,DISHWASH,C,2,No,YES,YES
AHS2017,DIST,DIST,N,10,9 to 10 miles,YES,YES
AHS2017,DIST,DIST,N,100,95 miles or more,YES,YES
AHS2017,DIST,DIST,N,12,11 to 12 miles,YES,YES
AHS2017,DIST,DIST,N,14,13 to 14 miles,YES,YES
AHS2017,DIST,DIST,N,16,15 to 16 miles,YES,YES
AHS2017,DIST,DIST,N,18,17 to 18 miles,YES,YES
AHS2017,DIST,DIST,N,2,1 to 2 miles,YES,YES
AHS2017,DIST,DIST,N,20,19 to 24 miles,YES,YES
AHS2017,DIST,DIST,N,30,25 to 34 miles,YES,YES
AHS2017,DIST,DIST,N,4,3 to 4 miles,YES,YES
AHS2017,DIST,DIST,N,40,35 to 44 miles,YES,YES
AHS2017,DIST,DIST,N,50,45 to 54 miles,YES,YES
AHS2017,DIST,DIST,N,6,5 to 6 miles,YES,YES
AHS2017,DIST,DIST,N,60,55 to 64 miles,YES,YES
AHS2017,DIST,DIST,N,70,65 to 74 miles,YES,YES
AHS2017,DIST,DIST,N,8,7 to 8 miles,YES,YES
AHS2017,DIST,DIST,N,80,75 to 84 miles,YES,YES
AHS2017,DIST,DIST,N,90,85 to 94 miles,YES,YES
AHS2017,DIST,DIST,N,.M,Not reported,YES,YES
AHS2017,DIST,DIST,N,.N,Not applicable,YES,YES
AHS2017,DIVISION,DIVISION,C,1,New England,YES,YES
AHS2017,DIVISION,DIVISION,C,2,Middle Atlantic,YES,YES
AHS2017,DIVISION,DIVISION,C,3,East North Central,YES,YES
AHS2017,DIVISION,DIVISION,C,4,West North Central,YES,YES
AHS2017,DIVISION,DIVISION,C,5,South Atlantic,YES,YES
AHS2017,DIVISION,DIVISION,C,6,East South Central,YES,YES
AHS2017,DIVISION,DIVISION,C,7,West South Central,YES,YES
AHS2017,DIVISION,DIVISION,C,8,Mountain,YES,YES
AHS2017,DIVISION,DIVISION,C,9,Pacific,YES,YES
AHS2017,DPALTCOM,DPALTCOM,C,1,Yes,YES,YES
AHS2017,DPALTCOM,DPALTCOM,C,2,No,YES,YES
AHS2017,DPALTCOM,DPALTCOM,C,M,Not reported,YES,YES
AHS2017,DPALTCOM,DPALTCOM,C,N,Not applicable,YES,YES
AHS2017,DPDRFOOD,DPDRFOOD,C,1,Yes,YES,YES
AHS2017,DPDRFOOD,DPDRFOOD,C,2,No,YES,YES
AHS2017,DPDRFOOD,DPDRFOOD,C,M,Not reported,YES,YES
AHS2017,DPDRFOOD,DPDRFOOD,C,N,Not applicable,YES,YES
AHS2017,DPEMWATER,DPEMWATER,C,1,Yes,YES,YES
AHS2017,DPEMWATER,DPEMWATER,C,2,No,YES,YES
AHS2017,DPEMWATER,DPEMWATER,C,M,Not reported,YES,YES
